name,price,desc
Maple Pecan Oatmeal Cookies,3.99,Soft oatmeal cookies with maple and pecans.
Caramel Sauce,3.49,Rich sauce for desserts and ice cream.
Banana Nut Muffins,4.49,"Moist, fluffy muffins packed with bananas and walnuts for a delightful breakfast or snack."
Cranberry Orange Oatmeal,2.49,Instant oatmeal flavored with cranberries and orange zest for breakfast.
Roasted Vegetable Medley,3.99,A mix of frozen roasted vegetables for an easy side dish.
Sweet Potato Chips,2.99,"Deliciously crunchy sweet potato chips, seasoned to perfection."
Honey Sesame Chicken Mix,8.99,A meal kit featuring tender chicken with honey sesame sauce.
Maple Pecan Pancake Mix,4.99,"A fluffy pancake mix infused with maple and pecans, perfect for a hearty breakfast."
Peanut Butter,3.79,"Creamy and smooth peanut butter, perfect for sandwiches."
Acoustic Guitar,199.99,Beginner-friendly acoustic guitar with natural finish.
Ramen Noodle Soup Cups,1.29,Instant ramen cups with flavor-packed broth.
Garlic Herb Grilled Chicken,8.99,Marinated grilled chicken breasts seasoned with garlic and herbs.
Herbed Goat Cheese,5.49,"Tangy goat cheese infused with herbs, perfect for snacking."
USB-C Hub,39.99,Multi-port USB-C hub for connecting devices.
Bamboo Cotton Tank Top,22.99,"Sustainable tank top made of bamboo cotton, offering breathability and comfort."
Wireless Smart Plug,19.99,Control home appliances remotely using your smartphone app.
Fitness Resistance Bands,29.99,Set of resistance bands for home workouts.
USB Desk Fan,14.99,Compact USB fan for personal cooling.
Dried Fruit Medley,5.49,A delightful mix of dried fruits for trail mix or snacks.
Electric Heating Pad,20.99,Microwaveable heating pad for muscle pain relief and relaxation.
Compact Umbrella,12.99,Portable and lightweight umbrella for protection from rain.
Whipped Cream Cheese,2.99,"Light and fluffy cream cheese, perfect for bagels or cooking."
Peanut Butter Banana Smoothie,3.99,Smooth and creamy smoothie made with peanut butter and banana.
Instant Read Meat Thermometer,24.99,Fast and accurate thermometer for grilling and cooking.
Wireless Music Receiver,19.99,Stream music from your device to any speaker wirelessly.
Puzzle Mat,22.99,Foldable mat for jigsaw puzzle assembly.
Portable Phone Mug Holder,14.99,Convenient holder for drinks and phones while driving.
Sesame Ginger Dressing,4.09,"Tangy dressing perfect for salads and marinades, with sesame and ginger flavors."
Faux Leather Leggings,49.99,Stylish faux leather leggings for a trendy outfit.
